"","AAPL","BAC","BLK","CME","CMG","CRM","DXC","EA","FB","GD","GOOG","GOOGL","GS","HPE","IBM","INTC","JPM","KO","MCD","MSFT","NDAQ","NFLX","NOC","NVDA","QCOM"
"AAPL",1,0.342960090662374,0.427751247500694,0.182825989289437,0.10852670451451,0.398570142432017,0.0669051254522804,0.135840801544353,0.294365451657789,0.37717608579135,0.39048830043252,0.394875935304201,0.259361394962968,0.316362843887813,0.335484169310048,0.422357423399172,0.308071688598769,0.0932330289953866,0.0858585005458124,0.612912105917802,0.281576064854461,0.220996754589819,0.0928548662894535,0.432340872618263,0.167169299473305
"BAC",0.342960090662374,1,0.623518969405956,0.177587992466172,0.0828406726360506,0.276837243069466,0.127062674693576,0.0794511425328197,0.247819595085642,0.298160139056476,0.232879032788598,0.236070508314517,0.785927199044631,0.336642344654708,0.333298126177307,0.267639916745346,0.75604581423245,0.12845369081632,0.233083687463987,0.346472575654717,0.356625078193676,0.272183738115035,0.169891474471411,0.286304032366764,0.0477425288908926
"BLK",0.427751247500694,0.623518969405956,1,0.130518126081554,0.050160827753067,0.365360097569857,0.273639629927806,0.14642499338479,0.281817402128454,0.419693870306694,0.291022022277305,0.295395849340243,0.549141054928384,0.356369175448524,0.454056491431186,0.301576553652033,0.622153423383138,0.128117885474243,0.180097314560004,0.456912140848919,0.347075976843941,0.246941577877751,0.175405867243132,0.363983099171463,0.242570585359598
"CME",0.182825989289437,0.177587992466172,0.130518126081554,1,0.105037104738108,0.0470782730367592,0.1506930454844,0.00395609432517509,0.0991744602427499,0.111266020580899,-0.0173308504543375,-0.016155195064264,0.0795709516252948,0.0624858473270049,0.119797092751683,0.0671687104830103,0.174391636031579,0.125358841980182,0.333290396374821,0.157513702661215,0.411955577422725,0.0695300724810142,0.119094665191336,0.0138689715392005,-0.0498278070496532
"CMG",0.10852670451451,0.0828406726360506,0.050160827753067,0.105037104738108,1,0.247715624358151,0.049436182242345,0.14228526868922,0.201142586334021,0.0677073118200281,0.0694258377123486,0.0663620158432305,0.048540629812541,0.133883169959262,0.156579070260777,0.0658425416198562,0.0750165267272489,0.0208686959376069,0.170507489356577,0.137640468939675,0.214285694444616,0.21084088239932,0.0489651163241435,0.110777286804373,-0.00161458851841867
"CRM",0.398570142432017,0.276837243069466,0.365360097569857,0.0470782730367592,0.247715624358151,1,0.0434773540049515,0.182902555213357,0.358881923450993,0.325692157186918,0.302087043461192,0.305240729871766,0.210219135900679,0.251597741753357,0.263695538439254,0.296963479626619,0.26285426762392,0.0827018438741375,0.115596225755197,0.52497023038299,0.249541745923768,0.203309159080516,0.19832171837993,0.285595055474079,0.113474458599828
"DXC",0.0669051254522804,0.127062674693576,0.273639629927806,0.1506930454844,0.049436182242345,0.0434773540049515,1,0.109755855853103,0.110592258479331,0.0538360926790201,0.0515658316195702,0.0567930639542457,0.094195612582007,0.1310401613308,0.223668480896736,0.108714720730372,0.152543585502378,-0.00577697828602515,0.110846561023618,0.105488129536616,0.040638717288297,0.0566058421081543,0.0169543317172456,0.0980649504111848,-0.00431415589832148
"EA",0.135840801544353,0.0794511425328197,0.14642499338479,0.00395609432517509,0.14228526868922,0.182902555213357,0.109755855853103,1,0.0994143035135716,0.116399606681923,0.150855280035944,0.15017124437463,0.0677116008195548,0.0298375344667161,0.157788047984363,0.0845123818263634,0.125743154785505,-0.00886705075066557,0.0120252436757042,0.224448764483675,0.0551104458397734,0.115669302121226,0.0339162438277374,0.184584932174629,0.0835986835964816
"FB",0.294365451657789,0.247819595085642,0.281817402128454,0.0991744602427499,0.201142586334021,0.358881923450993,0.110592258479331,0.0994143035135716,1,0.264012439537191,0.340956133725158,0.350697447169398,0.176107964168277,0.212456637148918,0.185215246082511,0.208019709725672,0.183134521486822,-0.0017111201389118,0.170998523751488,0.482078532271572,0.18780873659874,0.195072694111362,0.115178159491071,0.266126265187339,-0.0254863095020249
"GD",0.37717608579135,0.298160139056476,0.419693870306694,0.111266020580899,0.0677073118200281,0.325692157186918,0.0538360926790201,0.116399606681923,0.264012439537191,1,0.200288128032725,0.199917478409902,0.239276456023667,0.155948252684972,0.223084356195325,0.180765221296557,0.295884002451555,0.115315242176738,0.121316016377221,0.466927291758344,0.21871518508784,0.166571384916385,0.360092486291566,0.239452194412389,0.126958425780131
